id,PG,SG,SF,PF,C,sum,label_name
Shannon Brown,0,1,0,0,0,48,Shannon Brown
Shawn Marion,0,0,1,1,0,149,Shawn Marion
Stephen Curry,1,0,0,0,0,628,Stephen Curry
Steve Nash,1,0,0,0,0,357,Steve Nash
Sundiata Gaines,1,1,0,0,0,3,Sundiata Gaines
Tayshaun Prince,0,0,1,0,0,129,Tayshaun Prince
Tim Duncan,0,0,0,1,1,536,Tim Duncan
Tony Parker,1,0,0,0,0,531,Tony Parker
Trevor Ariza,0,1,1,0,0,100,Trevor Ariza
Ty Lawson,1,0,0,0,0,252,Ty Lawson
Tyler Hansbrough,0,0,0,1,0,85,Tyler Hansbrough
Tyrus Thomas,0,0,0,1,1,28,Tyrus Thomas
Tyson Chandler,0,0,0,1,1,326,Tyson Chandler
Udonis Haslem,0,0,0,1,0,157,Udonis Haslem
Wilson Chandler,0,1,1,1,0,89,Wilson Chandler
Yao Ming,0,0,0,0,1,64,Yao Ming
Al Horford,0,0,0,0,1,347,Al Horford
Al-Farouq Aminu,0,0,1,0,0,51,Al-Farouq Aminu
Alec Burks,0,1,0,0,0,74,Alec Burks
Andrew Bogut,0,0,0,1,1,259,Andrew Bogut
Andrew Bynum,0,0,0,0,1,194,Andrew Bynum
Andris Biedrins,0,0,0,0,1,36,Andris Biedrins
Andy Rautins,0,1,0,0,0,4,Andy Rautins
Anthony Parker,0,1,1,0,0,10,Anthony Parker
Anthony Tolliver,0,0,1,1,0,42,Anthony Tolliver
Baron Davis,1,0,0,0,0,45,Baron Davis
Beno Udrih,1,1,0,0,0,87,Beno Udrih
Blake Ahearn,1,0,0,0,0,4,Blake Ahearn
Brandan Wright,0,0,0,1,1,66,Brandan Wright
Brandon Jennings,1,0,0,0,0,204,Brandon Jennings
Brian Cook,0,0,0,1,1,5,Brian Cook
Carlos Boozer,0,0,0,1,1,156,Carlos Boozer
Channing Frye,0,0,0,1,1,47,Channing Frye
Charles Jenkins,1,1,0,0,0,11,Charles Jenkins
Charlie Bell,0,1,0,0,0,2,Charlie Bell
Chauncey Billups,1,1,0,0,0,121,Chauncey Billups
Chris Kaman,0,0,0,0,1,135,Chris Kaman
Chris Singleton,0,0,1,1,0,26,Chris Singleton
Chuck Hayes,0,0,0,1,1,35,Chuck Hayes
Courtney Fortson,1,0,0,0,0,2,Courtney Fortson
Daequan Cook,0,1,1,0,0,17,Daequan Cook
Damien Wilkins,0,1,1,0,0,20,Damien Wilkins
Darko Milicic,0,0,0,1,1,30,Darko Milicic
Darnell Jackson,0,0,0,1,0,2,Darnell Jackson
DeAndre Jordan,0,0,0,0,1,276,DeAndre Jordan
Dwight Buycks,1,0,0,0,0,8,Dwight Buycks
Earl Watson,1,0,0,0,0,45,Earl Watson
Eddy Curry,0,0,0,1,1,15,Eddy Curry
Enes Kanter,0,0,0,0,1,146,Enes Kanter
Eric Bledsoe,1,0,0,0,0,155,Eric Bledsoe
Eric Gordon,1,1,0,0,0,165,Eric Gordon
Gilbert Arenas,1,0,0,0,0,29,Gilbert Arenas
Glen Davis,0,0,0,1,1,85,Glen Davis
Goran Dragic,1,1,0,0,0,263,Goran Dragic
Iman Shumpert,1,1,0,0,0,217,Iman Shumpert
Isaiah Thomas,1,0,0,0,0,194,Isaiah Thomas
Jamaal Magloire,0,0,0,0,1,19,Jamaal Magloire
Jan Vesely,0,0,0,1,0,33,Jan Vesely
Jared Jeffries,0,0,1,1,0,13,Jared Jeffries
Jason Collins,0,0,0,1,1,66,Jason Collins
Jason Richardson,0,1,1,0,0,73,Jason Richardson
Jeff Foster,0,0,0,0,1,3,Jeff Foster
Jeff Teague,1,0,0,0,0,272,Jeff Teague
Jeremy Lin,1,1,0,0,0,323,Jeremy Lin
Jeremy Pargo,1,1,0,0,0,26,Jeremy Pargo
Jeremy Tyler,0,0,0,0,1,22,Jeremy Tyler
Jerome Dyson,1,0,0,0,0,4,Jerome Dyson
Jerry Stackhouse,0,1,1,0,0,47,Jerry Stackhouse
Jimmer Fredette,1,1,0,0,0,59,Jimmer Fredette
John Salmons,1,1,1,0,0,59,John Salmons
Jon Leuer,0,0,0,1,1,42,Jon Leuer
Josh Davis,0,0,0,1,0,1,Josh Davis
Josh Harrellson,0,0,0,1,1,17,Josh Harrellson
Josh Selby,1,0,0,0,0,25,Josh Selby
Josh Smith,0,0,1,1,0,343,Josh Smith
Justin Dentmon,1,0,0,0,0,7,Justin Dentmon
